order_id,customer_id,order_date,product_name,product_category,quantity,unit_price,total_amount,payment_status,delivery_status,payment_method,shipping_address
ORD-0001,CUST-001,2025-07-10,Noise Cancelling Headphones,Electronics,1,199.99,199.99,Paid,Delivered,Credit Card,"New York, USA"
ORD-0002,CUST-004,2025-07-12,Fitness Tracker,Wearables,2,79.99,159.98,Paid,Delivered,PayPal,"Los Angeles, USA"
ORD-0003,CUST-015,2025-07-11,Organic Cotton T-Shirt,Clothing,3,25.0,75.0,Paid,Shipped,Credit Card,"Hanoi, Vietnam"
ORD-0004,CUST-010,2025-07-09,Wireless Mouse,Electronics,1,29.99,29.99,Paid,Delivered,Wallet,"Seoul, South Korea"
ORD-0005,CUST-022,2025-07-08,Laptop Stand,Accessories,1,45.5,45.5,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0006,CUST-007,2025-07-12,Smartphone,Electronics,1,699.0,699.0,Paid,Delivered,Credit Card,"Sydney, Australia"
ORD-0007,CUST-019,2025-07-11,Blender,Home Appliances,1,120.0,120.0,Paid,Processing,PayPal,"Miami, USA"
ORD-0008,CUST-032,2025-07-10,Notebook Set,Stationery,5,4.5,22.5,Paid,Delivered,Wallet,"Boston, USA"
ORD-0009,CUST-046,2025-07-09,Projector,Electronics,1,350.0,350.0,Paid,Shipped,Bank Transfer,"Dallas, USA"
ORD-0010,CUST-013,2025-07-08,Ceramic Vase,Home Decor,2,30.0,60.0,Paid,Delivered,Credit Card,"San Francisco, USA"
ORD-0011,CUST-025,2025-07-07,Running Shoes,Footwear,1,90.0,90.0,Paid,Delivered,PayPal,"Denver, USA"
ORD-0012,CUST-037,2025-07-10,External Hard Drive,Electronics,1,80.0,80.0,Paid,Shipped,Credit Card,"Austin, USA"
ORD-0013,CUST-009,2025-07-11,Instant Camera,Electronics,1,120.0,120.0,Paid,Delivered,Bank Transfer,"Rome, Italy"
ORD-0014,CUST-044,2025-07-08,Desk Lamp,Furniture,1,35.0,35.0,Paid,Delivered,Wallet,"Seattle, USA"
ORD-0015,CUST-002,2025-07-09,Leather Wallet,Accessories,1,40.0,40.0,Paid,Processing,Credit Card,"Mumbai, India"
ORD-0016,CUST-030,2025-07-12,Electric Kettle,Home Appliances,1,25.0,25.0,Paid,Delivered,PayPal,"Houston, USA"
ORD-0017,CUST-020,2025-07-11,Office Chair,Furniture,1,180.0,180.0,Paid,Delivered,Bank Transfer,"Atlanta, USA"
ORD-0018,CUST-016,2025-07-10,Travel Backpack,Bags,1,70.0,70.0,Paid,Shipped,Credit Card,"Madrid, Spain"
ORD-0019,CUST-008,2025-07-09,Wireless Charger,Electronics,2,15.0,30.0,Paid,Delivered,Wallet,"Barcelona, Spain"
ORD-0020,CUST-014,2025-07-08,Espresso Machine,Home Appliances,1,250.0,250.0,Paid,Delivered,PayPal,"London, UK"
ORD-0021,CUST-003,2025-07-07,Noise Cancelling Earbuds,Electronics,1,150.0,150.0,Paid,Returned,Bank Transfer,"Manchester, UK"
ORD-0022,CUST-040,2025-07-09,Smartwatch,Wearables,1,199.0,199.0,Paid,Delivered,Credit Card,"Phoenix, USA"
ORD-0023,CUST-011,2025-07-08,Bluetooth Speaker,Electronics,1,99.0,99.0,Paid,Delivered,Wallet,"Shanghai, China"
ORD-0024,CUST-035,2025-07-11,Action Camera,Electronics,1,220.0,220.0,Paid,Shipped,Credit Card,"Chicago, USA"
ORD-0025,CUST-018,2025-07-07,Office Desk,Furniture,1,200.0,200.0,Pending,Processing,PayPal,"San Diego, USA"
ORD-0026,CUST-005,2025-07-09,Smart LED Bulb,Home Appliances,4,12.5,50.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0027,CUST-026,2025-07-10,Gaming Keyboard,Electronics,1,85.0,85.0,Paid,Delivered,Credit Card,"Miami, USA"
ORD-0028,CUST-021,2025-07-11,Robot Vacuum,Home Appliances,1,300.0,300.0,Paid,Shipped,Bank Transfer,"Boston, USA"
ORD-0029,CUST-036,2025-07-08,Photo Frame Set,Home Decor,3,12.0,36.0,Paid,Delivered,PayPal,"Seattle, USA"
ORD-0030,CUST-012,2025-07-07,Monitor Stand,Accessories,1,35.0,35.0,Paid,Delivered,Wallet,"Houston, USA"
ORD-0031,CUST-029,2025-07-10,Portable Grill,Outdoor,1,95.0,95.0,Paid,Delivered,Credit Card,"San Jose, USA"
ORD-0032,CUST-047,2025-07-09,Electric Scooter,Outdoor,1,450.0,450.0,Paid,Shipped,PayPal,"San Francisco, USA"
ORD-0033,CUST-006,2025-07-12,Wireless Earbuds,Electronics,2,70.0,140.0,Paid,Delivered,Wallet,"Delhi, India"
ORD-0034,CUST-042,2025-07-11,Office Printer,Electronics,1,150.0,150.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0035,CUST-023,2025-07-08,Yoga Mat,Fitness,2,25.0,50.0,Paid,Delivered,Credit Card,"Sydney, Australia"
ORD-0036,CUST-045,2025-07-07,LED Desk Clock,Home Decor,1,30.0,30.0,Paid,Shipped,Wallet,"Boston, USA"
ORD-0037,CUST-033,2025-07-10,Bookshelf,Furniture,1,120.0,120.0,Paid,Delivered,PayPal,"Dallas, USA"
ORD-0038,CUST-050,2025-07-09,Gaming Laptop,Electronics,1,1100.0,1100.0,Paid,Delivered,Credit Card,"New York, USA"
ORD-0039,CUST-034,2025-07-08,Hand Blender,Home Appliances,1,35.0,35.0,Paid,Processing,Bank Transfer,"Liverpool, UK"
ORD-0040,CUST-048,2025-07-12,Tripod Stand,Photography,1,40.0,40.0,Paid,Delivered,Wallet,"Chicago, USA"
ORD-0041,CUST-017,2025-07-11,Coffee Grinder,Home Appliances,1,60.0,60.0,Paid,Delivered,Credit Card,"Mexico City, Mexico"
ORD-0042,CUST-038,2025-07-09,Standing Desk,Furniture,1,250.0,250.0,Paid,Shipped,PayPal,"Boston, USA"
ORD-0043,CUST-041,2025-07-08,Wall Art Frame,Home Decor,2,20.0,40.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0044,CUST-039,2025-07-07,USB Hub,Electronics,1,15.0,15.0,Paid,Delivered,Wallet,"Austin, USA"
ORD-0045,CUST-043,2025-07-10,Laptop Bag,Bags,1,55.0,55.0,Paid,Shipped,Credit Card,"San Francisco, USA"
ORD-0046,CUST-031,2025-07-09,Ergonomic Chair,Furniture,1,200.0,200.0,Paid,Delivered,PayPal,"Chicago, USA"
ORD-0047,CUST-028,2025-07-08,Candle Set,Home Decor,2,15.0,30.0,Paid,Delivered,Bank Transfer,"Boston, USA"
ORD-0048,CUST-027,2025-07-07,Smart TV,Electronics,1,800.0,800.0,Paid,Delivered,Credit Card,"Los Angeles, USA"
ORD-0049,CUST-024,2025-07-10,Water Bottle,Accessories,3,10.0,30.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0050,CUST-049,2025-07-09,Digital Drawing Tablet,Electronics,1,250.0,250.0,Paid,Shipped,PayPal,"Chicago, USA"
ORD-0051,CUST-001,2025-07-11,Electric Toothbrush,Health,1,60.0,60.0,Paid,Delivered,Credit Card,"New York, USA"
ORD-0052,CUST-004,2025-07-10,Wireless Keyboard,Electronics,1,55.0,55.0,Paid,Delivered,Wallet,"Los Angeles, USA"
ORD-0053,CUST-015,2025-07-09,Linen Shirt,Clothing,2,35.0,70.0,Paid,Shipped,PayPal,"Hanoi, Vietnam"
ORD-0054,CUST-010,2025-07-08,Portable SSD,Electronics,1,120.0,120.0,Paid,Delivered,Bank Transfer,"Seoul, South Korea"
ORD-0055,CUST-022,2025-07-07,Table Lamp,Home Decor,1,40.0,40.0,Paid,Delivered,Credit Card,"Chicago, USA"
ORD-0056,CUST-007,2025-07-11,Tablet,Electronics,1,350.0,350.0,Paid,Shipped,Wallet,"Sydney, Australia"
ORD-0057,CUST-019,2025-07-10,Juicer,Home Appliances,1,75.0,75.0,Paid,Delivered,PayPal,"Miami, USA"
ORD-0058,CUST-032,2025-07-09,Color Pen Set,Stationery,4,3.5,14.0,Paid,Delivered,Credit Card,"Boston, USA"
ORD-0059,CUST-046,2025-07-08,Conference Camera,Electronics,1,280.0,280.0,Paid,Shipped,Bank Transfer,"Dallas, USA"
ORD-0060,CUST-013,2025-07-07,Decorative Mirror,Home Decor,1,65.0,65.0,Paid,Delivered,Wallet,"San Francisco, USA"
ORD-0061,CUST-025,2025-07-10,Sports Watch,Fitness,1,130.0,130.0,Paid,Delivered,PayPal,"Denver, USA"
ORD-0062,CUST-037,2025-07-09,Wi-Fi Router,Electronics,1,90.0,90.0,Paid,Delivered,Credit Card,"Austin, USA"
ORD-0063,CUST-009,2025-07-08,Camera Lens,Photography,1,400.0,400.0,Paid,Delivered,Bank Transfer,"Rome, Italy"
ORD-0064,CUST-044,2025-07-07,Folding Chair,Furniture,2,35.0,70.0,Paid,Delivered,Wallet,"Seattle, USA"
ORD-0065,CUST-002,2025-07-11,Leather Belt,Accessories,1,25.0,25.0,Paid,Shipped,Credit Card,"Mumbai, India"
ORD-0066,CUST-030,2025-07-10,Microwave Oven,Home Appliances,1,150.0,150.0,Paid,Delivered,PayPal,"Houston, USA"
ORD-0067,CUST-020,2025-07-09,Bookshelf,Furniture,1,130.0,130.0,Paid,Delivered,Bank Transfer,"Atlanta, USA"
ORD-0068,CUST-016,2025-07-08,Duffle Bag,Bags,1,65.0,65.0,Paid,Delivered,Credit Card,"Madrid, Spain"
ORD-0069,CUST-008,2025-07-07,HDMI Cable,Electronics,2,12.0,24.0,Paid,Delivered,Wallet,"Barcelona, Spain"
ORD-0070,CUST-014,2025-07-11,Coffee Maker,Home Appliances,1,90.0,90.0,Paid,Shipped,PayPal,"London, UK"
ORD-0071,CUST-003,2025-07-09,VR Headset,Electronics,1,500.0,500.0,Paid,Delivered,Bank Transfer,"Manchester, UK"
ORD-0072,CUST-040,2025-07-08,Wireless Game Controller,Gaming,1,70.0,70.0,Paid,Delivered,Credit Card,"Phoenix, USA"
ORD-0073,CUST-011,2025-07-07,Phone Stand,Accessories,2,8.0,16.0,Paid,Delivered,Wallet,"Shanghai, China"
ORD-0074,CUST-035,2025-07-11,4K Monitor,Electronics,1,350.0,350.0,Paid,Shipped,Credit Card,"Chicago, USA"
ORD-0075,CUST-018,2025-07-10,Bean Bag,Furniture,1,120.0,120.0,Pending,Processing,PayPal,"San Diego, USA"
ORD-0076,CUST-005,2025-07-09,Table Fan,Home Appliances,1,35.0,35.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0077,CUST-026,2025-07-08,Smart Door Lock,Electronics,1,180.0,180.0,Paid,Delivered,Credit Card,"Miami, USA"
ORD-0078,CUST-021,2025-07-07,Air Fryer,Home Appliances,1,110.0,110.0,Paid,Delivered,Bank Transfer,"Boston, USA"
ORD-0079,CUST-036,2025-07-11,Wall Clock,Home Decor,1,30.0,30.0,Paid,Delivered,PayPal,"Seattle, USA"
ORD-0080,CUST-012,2025-07-10,Document Organizer,Stationery,2,15.0,30.0,Paid,Delivered,Wallet,"Houston, USA"
ORD-0081,CUST-029,2025-07-09,Camping Tent,Outdoor,1,200.0,200.0,Paid,Delivered,Credit Card,"San Jose, USA"
ORD-0082,CUST-047,2025-07-08,Hoverboard,Outdoor,1,300.0,300.0,Paid,Shipped,PayPal,"San Francisco, USA"
ORD-0083,CUST-006,2025-07-07,Wireless Adapter,Electronics,1,25.0,25.0,Paid,Delivered,Wallet,"Delhi, India"
ORD-0084,CUST-042,2025-07-11,Laser Printer,Electronics,1,200.0,200.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0085,CUST-023,2025-07-09,Fitness Dumbbells,Fitness,2,30.0,60.0,Paid,Delivered,Credit Card,"Sydney, Australia"
ORD-0086,CUST-045,2025-07-08,LED Light Strip,Home Decor,2,20.0,40.0,Paid,Shipped,Wallet,"Boston, USA"
ORD-0087,CUST-033,2025-07-07,Office Stool,Furniture,1,85.0,85.0,Paid,Delivered,PayPal,"Dallas, USA"
ORD-0088,CUST-050,2025-07-11,High-End Smartphone,Electronics,1,950.0,950.0,Paid,Delivered,Credit Card,"New York, USA"
ORD-0089,CUST-034,2025-07-10,Kitchen Scale,Home Appliances,1,25.0,25.0,Paid,Processing,Bank Transfer,"Liverpool, UK"
ORD-0090,CUST-048,2025-07-09,Camera Tripod,Photography,1,60.0,60.0,Paid,Delivered,Wallet,"Chicago, USA"
ORD-0091,CUST-017,2025-07-08,Blender Bottle,Kitchen,2,12.0,24.0,Paid,Delivered,Credit Card,"Mexico City, Mexico"
ORD-0092,CUST-038,2025-07-07,Adjustable Desk,Furniture,1,220.0,220.0,Paid,Shipped,PayPal,"Boston, USA"
ORD-0093,CUST-041,2025-07-11,Floor Lamp,Home Decor,1,70.0,70.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0094,CUST-039,2025-07-09,USB Flash Drive,Electronics,2,15.0,30.0,Paid,Delivered,Wallet,"Austin, USA"
ORD-0095,CUST-043,2025-07-08,Rolling Suitcase,Bags,1,150.0,150.0,Paid,Shipped,Credit Card,"San Francisco, USA"
ORD-0096,CUST-031,2025-07-07,Office Storage Unit,Furniture,1,160.0,160.0,Paid,Delivered,PayPal,"Chicago, USA"
ORD-0097,CUST-028,2025-07-11,Scented Candles,Home Decor,2,18.0,36.0,Paid,Delivered,Bank Transfer,"Boston, USA"
ORD-0098,CUST-027,2025-07-10,Soundbar,Electronics,1,280.0,280.0,Paid,Delivered,Credit Card,"Los Angeles, USA"
ORD-0099,CUST-024,2025-07-09,Reusable Tote Bag,Accessories,3,7.0,21.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0100,CUST-049,2025-07-08,Graphic Tablet Pen,Electronics,1,50.0,50.0,Paid,Shipped,PayPal,"Chicago, USA"
ORD-0101,CUST-001,2025-07-12,Smart Home Hub,Electronics,1,120.0,120.0,Paid,Delivered,Credit Card,"New York, USA"
ORD-0102,CUST-004,2025-07-11,Wireless Charging Pad,Electronics,2,20.0,40.0,Paid,Delivered,Wallet,"Los Angeles, USA"
ORD-0103,CUST-015,2025-07-10,Cotton Hoodie,Clothing,1,50.0,50.0,Paid,Shipped,PayPal,"Hanoi, Vietnam"
ORD-0104,CUST-010,2025-07-09,Bluetooth Car Adapter,Electronics,1,25.0,25.0,Paid,Delivered,Bank Transfer,"Seoul, South Korea"
ORD-0105,CUST-022,2025-07-08,Desk Organizer,Stationery,2,12.0,24.0,Paid,Delivered,Credit Card,"Chicago, USA"
ORD-0106,CUST-007,2025-07-12,Noise Cancelling Earphones,Electronics,1,150.0,150.0,Paid,Shipped,Wallet,"Sydney, Australia"
ORD-0107,CUST-019,2025-07-11,Toaster,Home Appliances,1,35.0,35.0,Paid,Delivered,PayPal,"Miami, USA"
ORD-0108,CUST-032,2025-07-10,Sticky Notes Set,Stationery,6,2.0,12.0,Paid,Delivered,Credit Card,"Boston, USA"
ORD-0109,CUST-046,2025-07-09,Smart Projector,Electronics,1,400.0,400.0,Paid,Shipped,Bank Transfer,"Dallas, USA"
ORD-0110,CUST-013,2025-07-08,Wall Hanging,Home Decor,1,30.0,30.0,Paid,Delivered,Wallet,"San Francisco, USA"
ORD-0111,CUST-025,2025-07-07,Sports Water Bottle,Fitness,2,12.0,24.0,Paid,Delivered,PayPal,"Denver, USA"
ORD-0112,CUST-037,2025-07-10,Laptop Cooling Pad,Electronics,1,25.0,25.0,Paid,Delivered,Credit Card,"Austin, USA"
ORD-0113,CUST-009,2025-07-09,Tripod Kit,Photography,1,70.0,70.0,Paid,Delivered,Bank Transfer,"Rome, Italy"
ORD-0114,CUST-044,2025-07-08,Study Chair,Furniture,1,90.0,90.0,Paid,Delivered,Wallet,"Seattle, USA"
ORD-0115,CUST-002,2025-07-07,Leather Keychain,Accessories,1,18.0,18.0,Paid,Shipped,Credit Card,"Mumbai, India"
ORD-0116,CUST-030,2025-07-12,Mini Blender,Home Appliances,1,30.0,30.0,Paid,Delivered,PayPal,"Houston, USA"
ORD-0117,CUST-020,2025-07-11,Corner Shelf,Furniture,1,60.0,60.0,Paid,Delivered,Bank Transfer,"Atlanta, USA"
ORD-0118,CUST-016,2025-07-10,Travel Pouch,Bags,2,10.0,20.0,Paid,Delivered,Credit Card,"Madrid, Spain"
ORD-0119,CUST-008,2025-07-09,USB Type-C Cable,Electronics,3,8.0,24.0,Paid,Delivered,Wallet,"Barcelona, Spain"
ORD-0120,CUST-014,2025-07-08,Electric Grill,Home Appliances,1,120.0,120.0,Paid,Shipped,PayPal,"London, UK"
ORD-0121,CUST-003,2025-07-07,Gaming Console,Gaming,1,400.0,400.0,Paid,Delivered,Bank Transfer,"Manchester, UK"
ORD-0122,CUST-040,2025-07-09,Smart Fitness Band,Wearables,1,80.0,80.0,Paid,Delivered,Credit Card,"Phoenix, USA"
ORD-0123,CUST-011,2025-07-08,Desk Calendar,Stationery,1,10.0,10.0,Paid,Delivered,Wallet,"Shanghai, China"
ORD-0124,CUST-035,2025-07-11,HD Webcam,Electronics,1,85.0,85.0,Paid,Shipped,Credit Card,"Chicago, USA"
ORD-0125,CUST-018,2025-07-10,Work Desk,Furniture,1,200.0,200.0,Pending,Processing,PayPal,"San Diego, USA"
ORD-0126,CUST-005,2025-07-09,Smart LED Lamp,Home Appliances,2,20.0,40.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0127,CUST-026,2025-07-08,Gaming Mouse Pad,Electronics,1,15.0,15.0,Paid,Delivered,Credit Card,"Miami, USA"
ORD-0128,CUST-021,2025-07-07,Vacuum Cleaner,Home Appliances,1,140.0,140.0,Paid,Delivered,Bank Transfer,"Boston, USA"
ORD-0129,CUST-036,2025-07-11,Picture Frame,Home Decor,2,14.0,28.0,Paid,Delivered,PayPal,"Seattle, USA"
ORD-0130,CUST-012,2025-07-10,Laptop Sleeve,Accessories,1,25.0,25.0,Paid,Delivered,Wallet,"Houston, USA"
ORD-0131,CUST-029,2025-07-09,Camping Stove,Outdoor,1,70.0,70.0,Paid,Delivered,Credit Card,"San Jose, USA"
ORD-0132,CUST-047,2025-07-08,Drone,Electronics,1,500.0,500.0,Paid,Shipped,PayPal,"San Francisco, USA"
ORD-0133,CUST-006,2025-07-07,Wireless Router,Electronics,1,60.0,60.0,Paid,Delivered,Wallet,"Delhi, India"
ORD-0134,CUST-042,2025-07-11,Inkjet Printer,Electronics,1,90.0,90.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0135,CUST-023,2025-07-09,Yoga Block,Fitness,2,10.0,20.0,Paid,Delivered,Credit Card,"Sydney, Australia"
ORD-0136,CUST-045,2025-07-08,LED Fairy Lights,Home Decor,3,8.0,24.0,Paid,Shipped,Wallet,"Boston, USA"
ORD-0137,CUST-033,2025-07-07,Ergonomic Footrest,Furniture,1,35.0,35.0,Paid,Delivered,PayPal,"Dallas, USA"
ORD-0138,CUST-050,2025-07-11,High-End Laptop,Electronics,1,1200.0,1200.0,Paid,Delivered,Credit Card,"New York, USA"
ORD-0139,CUST-034,2025-07-10,Electric Mixer,Home Appliances,1,45.0,45.0,Paid,Processing,Bank Transfer,"Liverpool, UK"
ORD-0140,CUST-048,2025-07-09,Camera Bag,Photography,1,80.0,80.0,Paid,Delivered,Wallet,"Chicago, USA"
ORD-0141,CUST-017,2025-07-08,Measuring Cups Set,Kitchen,2,6.0,12.0,Paid,Delivered,Credit Card,"Mexico City, Mexico"
ORD-0142,CUST-038,2025-07-07,Standing Desk Converter,Furniture,1,150.0,150.0,Paid,Shipped,PayPal,"Boston, USA"
ORD-0143,CUST-041,2025-07-11,Wall Mirror,Home Decor,1,55.0,55.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0144,CUST-039,2025-07-09,USB Extension Cable,Electronics,2,7.0,14.0,Paid,Delivered,Wallet,"Austin, USA"
ORD-0145,CUST-043,2025-07-08,Backpack,Bags,1,65.0,65.0,Paid,Shipped,Credit Card,"San Francisco, USA"
ORD-0146,CUST-031,2025-07-07,Wooden Drawer,Furniture,1,110.0,110.0,Paid,Delivered,PayPal,"Chicago, USA"
ORD-0147,CUST-028,2025-07-11,Aroma Diffuser,Home Decor,1,25.0,25.0,Paid,Delivered,Bank Transfer,"Boston, USA"
ORD-0148,CUST-027,2025-07-10,Ultra HD TV,Electronics,1,950.0,950.0,Paid,Delivered,Credit Card,"Los Angeles, USA"
ORD-0149,CUST-024,2025-07-09,Insulated Bottle,Accessories,2,15.0,30.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0150,CUST-049,2025-07-08,Stylus Pen,Electronics,1,35.0,35.0,Paid,Shipped,PayPal,"Chicago, USA"
ORD-0151,CUST-001,2025-07-12,USB-C Hub,Electronics,1,25.0,25.0,Paid,Delivered,Credit Card,"New York, USA"
ORD-0152,CUST-004,2025-07-11,Bluetooth Tracker,Electronics,1,35.0,35.0,Paid,Delivered,Wallet,"Los Angeles, USA"
ORD-0153,CUST-015,2025-07-10,Denim Jacket,Clothing,1,60.0,60.0,Paid,Shipped,PayPal,"Hanoi, Vietnam"
ORD-0154,CUST-010,2025-07-09,Wireless Speaker,Electronics,1,90.0,90.0,Paid,Delivered,Bank Transfer,"Seoul, South Korea"
ORD-0155,CUST-022,2025-07-08,Lamp Shade,Home Decor,1,30.0,30.0,Paid,Delivered,Credit Card,"Chicago, USA"
ORD-0156,CUST-007,2025-07-12,Portable Charger,Electronics,1,40.0,40.0,Paid,Shipped,Wallet,"Sydney, Australia"
ORD-0157,CUST-019,2025-07-11,Electric Skillet,Home Appliances,1,55.0,55.0,Paid,Delivered,PayPal,"Miami, USA"
ORD-0158,CUST-032,2025-07-10,Sketchbook,Stationery,2,6.0,12.0,Paid,Delivered,Credit Card,"Boston, USA"
ORD-0159,CUST-046,2025-07-09,Smart Lamp,Electronics,1,45.0,45.0,Paid,Shipped,Bank Transfer,"Dallas, USA"
ORD-0160,CUST-013,2025-07-08,Vase Set,Home Decor,2,18.0,36.0,Paid,Delivered,Wallet,"San Francisco, USA"
ORD-0161,CUST-025,2025-07-07,Fitness Resistance Bands,Fitness,3,8.0,24.0,Paid,Delivered,PayPal,"Denver, USA"
ORD-0162,CUST-037,2025-07-10,Mouse Pad,Accessories,1,10.0,10.0,Paid,Delivered,Credit Card,"Austin, USA"
ORD-0163,CUST-009,2025-07-09,Action Camera Kit,Photography,1,220.0,220.0,Paid,Delivered,Bank Transfer,"Rome, Italy"
ORD-0164,CUST-044,2025-07-08,Folding Table,Furniture,1,80.0,80.0,Paid,Delivered,Wallet,"Seattle, USA"
ORD-0165,CUST-002,2025-07-07,Wallet Card Holder,Accessories,1,15.0,15.0,Paid,Shipped,Credit Card,"Mumbai, India"
ORD-0166,CUST-030,2025-07-12,Air Purifier,Home Appliances,1,180.0,180.0,Paid,Delivered,PayPal,"Houston, USA"
ORD-0167,CUST-020,2025-07-11,Book Rack,Furniture,1,70.0,70.0,Paid,Delivered,Bank Transfer,"Atlanta, USA"
ORD-0168,CUST-016,2025-07-10,Travel Wallet,Bags,1,25.0,25.0,Paid,Delivered,Credit Card,"Madrid, Spain"
ORD-0169,CUST-008,2025-07-09,Charging Cable Set,Electronics,3,12.0,36.0,Paid,Delivered,Wallet,"Barcelona, Spain"
ORD-0170,CUST-014,2025-07-08,Espresso Cups,Kitchen,4,5.0,20.0,Paid,Shipped,PayPal,"London, UK"
ORD-0171,CUST-003,2025-07-07,VR Gaming Controller,Gaming,1,120.0,120.0,Paid,Delivered,Bank Transfer,"Manchester, UK"
ORD-0172,CUST-040,2025-07-09,Wireless Fitness Scale,Health,1,65.0,65.0,Paid,Delivered,Credit Card,"Phoenix, USA"
ORD-0173,CUST-011,2025-07-08,Sticky Tabs,Stationery,5,2.0,10.0,Paid,Delivered,Wallet,"Shanghai, China"
ORD-0174,CUST-035,2025-07-11,Noise Cancelling Mic,Electronics,1,95.0,95.0,Paid,Shipped,Credit Card,"Chicago, USA"
ORD-0175,CUST-018,2025-07-10,Standing Bookshelf,Furniture,1,130.0,130.0,Pending,Processing,PayPal,"San Diego, USA"
ORD-0176,CUST-005,2025-07-09,Desk Fan,Home Appliances,1,25.0,25.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0177,CUST-026,2025-07-08,Mechanical Keyboard,Electronics,1,75.0,75.0,Paid,Delivered,Credit Card,"Miami, USA"
ORD-0178,CUST-021,2025-07-07,Robot Mop,Home Appliances,1,220.0,220.0,Paid,Delivered,Bank Transfer,"Boston, USA"
ORD-0179,CUST-036,2025-07-11,Photo Clip Lights,Home Decor,2,10.0,20.0,Paid,Delivered,PayPal,"Seattle, USA"
ORD-0180,CUST-012,2025-07-10,Pen Holder,Stationery,1,6.0,6.0,Paid,Delivered,Wallet,"Houston, USA"
ORD-0181,CUST-029,2025-07-09,Outdoor Hammock,Outdoor,1,60.0,60.0,Paid,Delivered,Credit Card,"San Jose, USA"
ORD-0182,CUST-047,2025-07-08,Action Drone,Electronics,1,650.0,650.0,Paid,Shipped,PayPal,"San Francisco, USA"
ORD-0183,CUST-006,2025-07-07,Smart Wi-Fi Plug,Electronics,2,15.0,30.0,Paid,Delivered,Wallet,"Delhi, India"
ORD-0184,CUST-042,2025-07-11,Laser Printer Ink,Electronics,1,35.0,35.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0185,CUST-023,2025-07-09,Kettlebell,Fitness,1,25.0,25.0,Paid,Delivered,Credit Card,"Sydney, Australia"
ORD-0186,CUST-045,2025-07-08,Wall String Lights,Home Decor,3,7.0,21.0,Paid,Shipped,Wallet,"Boston, USA"
ORD-0187,CUST-033,2025-07-07,Ergonomic Cushion,Furniture,1,45.0,45.0,Paid,Delivered,PayPal,"Dallas, USA"
ORD-0188,CUST-050,2025-07-11,Premium Laptop,Electronics,1,1350.0,1350.0,Paid,Delivered,Credit Card,"New York, USA"
ORD-0189,CUST-034,2025-07-10,Hand Mixer,Home Appliances,1,28.0,28.0,Paid,Processing,Bank Transfer,"Liverpool, UK"
ORD-0190,CUST-048,2025-07-09,Tripod Stand Pro,Photography,1,95.0,95.0,Paid,Delivered,Wallet,"Chicago, USA"
ORD-0191,CUST-017,2025-07-08,Stainless Steel Pan,Kitchen,1,40.0,40.0,Paid,Delivered,Credit Card,"Mexico City, Mexico"
ORD-0192,CUST-038,2025-07-07,Desk Converter,Furniture,1,140.0,140.0,Paid,Shipped,PayPal,"Boston, USA"
ORD-0193,CUST-041,2025-07-11,Table Lamp Pro,Home Decor,1,75.0,75.0,Paid,Delivered,Bank Transfer,"Chicago, USA"
ORD-0194,CUST-039,2025-07-09,Micro USB Cable,Electronics,2,6.0,12.0,Paid,Delivered,Wallet,"Austin, USA"
ORD-0195,CUST-043,2025-07-08,Travel Backpack,Bags,1,75.0,75.0,Paid,Shipped,Credit Card,"San Francisco, USA"
ORD-0196,CUST-031,2025-07-07,Metal Drawer,Furniture,1,115.0,115.0,Paid,Delivered,PayPal,"Chicago, USA"
ORD-0197,CUST-028,2025-07-11,Scent Diffuser,Home Decor,1,30.0,30.0,Paid,Delivered,Bank Transfer,"Boston, USA"
ORD-0198,CUST-027,2025-07-10,Smart TV 4K,Electronics,1,980.0,980.0,Paid,Delivered,Credit Card,"Los Angeles, USA"
ORD-0199,CUST-024,2025-07-09,Travel Flask,Accessories,1,20.0,20.0,Paid,Delivered,Wallet,"New York, USA"
ORD-0200,CUST-049,2025-07-08,Digital Stylus,Electronics,1,40.0,40.0,Paid,Shipped,PayPal,"Chicago, USA"
